replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,trainer/Alpha_prime,trainer/min_q1_loss,trainer/min_q2_loss,trainer/threshold action gap,trainer/alpha prime loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999035,43.69017,39.725506,43.719982,39.7245,0.0002687985,0.00020205576,-0.009742006,0.0014717866,-0.0057839565,-0.014165566,-0.002223902,0.0010850087,0.0018655113,-0.005166204,-0.009751789,0.0014611221,-0.0059756497,-0.0140562905,-0.0022255755,0.0010829368,0.0017770387,-0.0050493157,-0.009754841,0.0014763466,-0.005876521,-0.014297789,-0.0022239736,0.001083149,0.0017282299,-0.0053040353,-0.007210169,0.8214651,1.0,-1.0,-2.0,0.0,-2.0,-2.0,1,1,-5.360339,-0.009939007,0.0014315984,-0.0061590923,-0.013742827,-0.0022146376,0.001103503,0.0015297495,-0.0053049834,-2.0010834,0.0021947704,-1.996297,-2.006125,-5.370057,0.65117663,-3.6254177,-6.907593,-0.00060312345,0.0012051881,0.0019127806,-0.0053603705,-0.0009920613,0.0015948606,0.002380264,-0.0043917135,0.9998999834060669,-0.0,1.0,39.725506,39.7245,5.0,-39.72500228881836,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.110889055,0.6369179,0.9990501,-0.99902546,1,0.0,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005008752,0.00092278013,0.0012031397,-0.0026460243,1,0.0,1.0130359880004107,0.002321261999895796,1.261296374000267,0.010390917999757221,22.24033755900018,24.527382101000512,32.31286144900059,0
999035,62.02291,3.5375655,58.88602,2.9813993,6.000749,6.391796,-43.49621,21.247423,-18.002113,-158.53731,-44.23738,21.642471,-17.25364,-153.75867,-48.751244,24.44538,-22.959625,-170.04773,-49.79862,24.883326,-23.445984,-172.79295,-43.74723,21.442293,-19.3162,-158.66881,-44.437824,21.898525,-20.072657,-155.06328,-0.030136678,0.8164317,1.0,-1.0,-2.0,0.0,-2.0,-2.0,1001,1001,48.504562,-34.97633,14.190994,-19.96175,-90.14539,-35.22548,14.276043,-20.38047,-92.39439,-36.05542,16.111944,-14.518534,-97.14869,3.1271572,5.1007295,19.109913,-9.936989,-0.02032379,0.36801204,0.8228071,-1.0477347,0.8283324,0.050031435,0.9998361,0.68349,0.9179050326347351,-0.41695743799209595,1.116591453552246,3.5375655,2.9813993,5.0,-3.2594823837280273,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008945005,0.8542328,1.0,-0.99999994,1,0.0,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.110679306,0.40578684,0.69309366,-0.6263156,1,0.0,1.0424428870001066,0.0023800250000931555,1.1600527499995223,0.010390917999757221,21.752938104999885,23.968204684999364,56.273270437000065,1
999035,167.70767,3.556025,172.18842,3.29387,7.9936643,8.4175415,-108.91213,58.3673,-48.127407,-333.8691,-109.61033,59.289963,-45.84152,-327.03094,-116.81502,65.55683,-52.700634,-372.2752,-117.72713,66.286736,-49.84418,-360.86945,-109.45585,58.69227,-48.5161,-349.74512,-110.09868,59.46254,-47.46705,-344.8992,-0.022885403,0.8233818,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,2001,2001,113.8978,-98.667206,51.15668,-47.572723,-270.04498,-98.734085,51.609165,-48.44523,-271.6174,-97.28796,51.46094,2.0,-282.9807,2.6863525,5.5222383,17.668709,-11.4601345,-0.050711773,0.4919422,1.2056009,-1.2169886,0.8100409,0.07498624,1.0512038,0.3588564,0.8361012935638428,-0.9506781101226807,1.1487423181533813,3.556025,3.29387,5.0,-3.424947500228882,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008504033,0.85156703,1.0,-0.99999976,1,0.0,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050357822,0.26381895,0.56841564,-0.6653611,1,0.0,0.9660905239998101,0.002415733999441727,1.1367432090000875,0.010390917999757221,21.554881961999854,23.67052234699895,79.93550446599875,2
999035,190.07068,-6.338098,193.04086,-5.7039886,9.609029,10.02934,-173.76535,88.10837,-88.82821,-531.6642,-174.12273,89.47865,-85.30015,-520.95636,-182.22424,95.4038,-91.18992,-528.12463,-182.88048,96.90149,-89.47447,-531.79865,-174.00757,88.36665,-87.25668,-515.18805,-174.37398,89.54099,-83.211586,-517.57153,-0.020349476,0.82812744,1.0,-1.0,-2.0,0.0,-2.0,-2.0,3001,3001,179.37494,-160.22186,78.861946,-85.96274,-412.6756,-160.06989,78.8641,-82.94541,-413.42493,-157.91219,78.70159,-78.84939,-411.22415,3.6470566,6.294024,26.968613,-9.881018,-0.024386529,0.5620372,1.352184,-1.3544174,0.8467338,0.08228716,1.0538058,0.31382892,0.7626713514328003,-1.1789460182189941,1.3646726608276367,-6.338098,-5.7039886,5.0,6.021043300628662,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029520996,0.8563292,0.99999994,-1.0,1,0.0,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030889008,0.29240236,0.63196397,-0.80608416,1,0.0,0.9468555900002684,0.002429310000479745,1.1283504769999126,0.010390917999757221,21.573409630000242,23.66143592500066,103.58871661799822,3
999035,288.20297,4.8296237,281.57523,5.260485,10.750689,11.005053,-233.76941,118.20981,-118.02044,-657.098,-235.06772,120.07046,-119.36183,-656.1976,-243.1998,125.91603,-126.94164,-650.93634,-244.76999,128.07153,-126.75721,-662.505,-233.9725,117.7043,-121.57309,-634.1261,-235.30835,119.668045,-124.15179,-633.1582,0.0022943164,0.8234844,1.0,-1.0,-2.0,0.0,-2.0,-2.0,4001,4001,241.65063,-220.48932,109.62483,-121.30956,-562.4672,-221.62604,110.515724,-122.37002,-582.1563,-225.07578,112.414406,-126.820206,-615.10754,4.4275365,5.981591,25.134686,-9.542585,-0.03963436,0.6474927,1.5296103,-1.6948473,0.8604064,0.09187083,1.0514888,0.10838729,0.6965172290802002,-1.2917134761810303,1.6977462768554688,4.8296237,5.260485,5.0,-5.0450544357299805,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036277737,0.84869087,1.0,-0.99999994,1,0.0,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031344173,0.32863006,0.7506014,-0.8386664,1,0.0,0.9444029140004204,0.002368001999457192,1.1195025329998316,0.010390917999757221,21.529646318000232,23.6063106849997,127.18659353299608,4
999035,497.85095,-1.475557,453.60516,1.7618966,12.228137,12.565622,-308.32007,153.17918,-168.83307,-861.57825,-307.48648,153.1242,-164.70323,-861.7127,-318.9758,162.37584,-173.6558,-939.48535,-318.57626,162.48753,-170.94557,-909.34686,-308.95184,153.26805,-170.23921,-842.93036,-308.4205,153.28113,-166.88898,-841.94794,-0.03667782,0.823744,1.0,-1.0,-2.0,0.0,-2.0,-2.0,5001,5001,315.12903,-293.3887,143.33904,-167.86255,-766.6477,-292.39465,143.06851,-167.21515,-762.91504,-294.0411,144.20879,-164.92804,-802.96967,4.169293,5.802807,18.905142,-9.706074,-0.044370316,0.70192415,1.8144418,-1.8909283,0.8630083,0.0957099,1.0802317,0.10949924,0.6372897028923035,-1.7255053520202637,2.0648722648620605,-1.475557,1.7618966,5.0,-0.1431698203086853,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068443567,0.85032064,0.99999994,-1.0,1,0.0,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022053415,0.30674785,0.7316416,-0.84527904,1,0.0,0.9468948960002308,0.002385339000284148,1.1258618629999546,0.010390917999757221,21.568058214999837,23.653591231000064,150.83172957999705,5
999035,426.62848,-6.3654914,424.4801,9.454316,13.936391,13.590058,-384.903,191.30672,-206.85484,-1139.07,-384.7758,191.15552,-208.25406,-1129.0521,-396.77374,200.93266,-216.66081,-1196.1498,-396.2061,199.7873,-216.10696,-1172.9767,-386.14752,192.79091,-208.19534,-1150.8429,-385.79785,192.45042,-210.00719,-1139.9791,-0.022050273,0.8267668,1.0,-1.0,-2.0,0.0,-2.0,-2.0,6001,6001,395.33466,-367.87726,180.57594,-206.43762,-1030.1577,-368.7602,180.9314,-208.35101,-1039.0111,-371.93774,185.03185,-210.58989,-1017.7017,4.3299837,6.1164455,21.834274,-8.327469,-0.06406749,0.7752583,2.3080618,-1.8290933,0.8825357,0.1073086,1.1035548,0.08797045,0.5839834809303284,-1.9737122058868408,2.547689437866211,-6.3654914,9.454316,5.0,-1.54441237449646,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003496342,0.8634642,1.0,-1.0,1,0.0,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007450556,0.42920658,0.84989136,-0.89681256,1,0.0,0.9594138200000089,0.0022996409998086165,1.1116733389999354,0.010390917999757221,21.551075469999887,23.634853187999397,174.45860154399543,6
999035,884.6467,27.838608,986.41785,39.16235,15.691853,15.031071,-484.20282,246.80782,-256.54825,-1259.756,-480.73407,244.28801,-250.51202,-1291.8667,-497.03192,256.85242,-266.44907,-1292.3026,-492.92456,252.98549,-264.02493,-1301.601,-484.34637,245.96996,-256.2493,-1251.4315,-481.3921,243.78871,-252.55,-1275.2767,-0.024091579,0.8160742,1.0,-1.0,-2.0,0.0,-2.0,-2.0,7001,7001,491.847,-465.87704,233.89783,-256.21487,-1164.435,-463.15942,231.55775,-255.29535,-1153.6095,-474.14423,238.8337,-259.00406,-1210.532,4.9836807,6.3803678,26.580198,-11.771503,-0.05931744,0.8143882,1.8156424,-1.8682913,0.90314823,0.10443487,1.1118215,0.08975637,0.5363202691078186,-1.8789660930633545,3.109966993331909,27.838608,39.16235,5.0,-33.50048065185547,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028333737,0.86093915,1.0,-1.0,1,0.0,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006278949,0.45864815,0.90178967,-0.93908745,1,0.0,0.9349660529996981,0.0024309520003953367,1.1156523950003248,0.010390917999757221,21.54332716599947,23.606767483999647,198.056890774993,7
999035,915.8793,-4.9991565,925.7749,6.1012454,18.358192,18.121456,-598.5448,311.33286,-284.6498,-1835.7118,-597.3522,311.3011,-296.36896,-1812.4856,-613.9606,323.61786,-295.25076,-1880.0995,-613.1408,323.14163,-303.11258,-1840.3212,-599.1206,310.67767,-288.69846,-1832.0525,-597.491,310.09433,-299.01553,-1801.167,-0.025502566,0.8293602,1.0,-1.0,-2.0,0.0,-2.0,-2.0,8001,8001,609.6893,-576.59564,295.72928,-296.79654,-1615.2223,-575.61676,295.0132,-306.37448,-1610.3429,-574.8932,295.5206,-295.93076,-1571.5591,5.454095,6.7804637,27.534227,-8.779703,-0.03532405,0.8919059,2.2061365,-2.007645,0.8968293,0.10857849,1.1384186,0.11186046,0.4938187897205353,-1.7961375713348389,3.787043571472168,-4.9991565,6.1012454,5.0,-0.5510444641113281,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019758932,0.866153,1.0,-1.0,1,0.0,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011066915,0.45497084,0.9377693,-0.96570456,1,0.0,0.9224434250008926,0.0023269630000868347,1.1199375280002641,0.010390917999757221,21.522392820999812,23.577491655000813,221.6261173229941,8
999035,1410.7986,-25.088026,1460.0895,0.6753636,19.891537,19.010777,-717.27966,382.5759,-353.71094,-1771.7987,-714.84454,380.8477,-353.30676,-1723.8541,-733.60144,395.24222,-361.76465,-1825.5687,-731.0187,391.71054,-364.29333,-1772.837,-717.44293,381.13733,-358.14786,-1712.0886,-715.5792,379.6324,-355.04303,-1703.4332,-0.03718139,0.8172916,1.0,-1.0,-2.0,0.0,-2.0,-2.0,9001,9001,729.33,-691.17694,364.573,-357.136,-1581.9174,-690.7072,364.98032,-351.98514,-1585.4418,-678.86945,358.53796,-342.6466,-1569.355,5.894595,6.8124614,37.46982,-9.9068775,-0.073014006,0.95142514,2.1917055,-2.2492752,0.90907824,0.122110635,1.1745192,0.057982873,0.45631882548332214,-1.651658535003662,4.4331560134887695,-25.088026,0.6753636,5.0,12.206331253051758,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049097757,0.86958593,1.0,-1.0,1,0.0,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042745825,0.49197996,0.9453002,-0.95817584,1,0.0,0.9270746989996042,0.0023835090005377424,1.123106332000134,0.010390917999757221,21.549236621999626,23.61219207999966,245.22984693599483,9
