replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,trainer/Alpha_prime,trainer/min_q1_loss,trainer/min_q2_loss,trainer/threshold action gap,trainer/alpha prime loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999035,43.734695,39.72673,43.69261,39.727226,0.00019228374,0.00021856409,0.0010556158,0.0010064277,0.0044383327,-0.0022806209,-0.0095061045,0.0016268209,-0.004736541,-0.013909888,0.0010478672,0.0010026474,0.0044676373,-0.0021214935,-0.009508893,0.0016187772,-0.0045595444,-0.013926974,0.0010448995,0.0010025763,0.0043379837,-0.0022757337,-0.009512859,0.0016231679,-0.0046601314,-0.013964018,-0.031561308,0.8197658,1.0,-1.0,-2.0,0.0,-2.0,-2.0,1,1,-5.327769,0.0010942165,0.0009665474,0.0043490594,-0.0015708377,-0.009567173,0.0016293068,-0.00509475,-0.013758771,-2.0008945,0.0013812325,-1.9978417,-2.0049841,-5.3552675,0.5927294,-3.791518,-6.99405,6.785122e-05,0.0026548682,0.0056599258,-0.0044224733,-0.00014816581,0.0016742602,0.0029546758,-0.004244502,0.9998999834060669,-0.0,1.0,39.72673,39.727226,5.0,-39.72697830200195,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038208626,0.65203935,0.99848366,-0.99931854,1,0.0,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004569216,0.0016456246,0.0022999432,-0.0031604432,1,0.0,0.8930959340068512,0.002275741004268639,1.3336446630128194,0.00532125799509231,25.356789312005276,27.591126908024307,38.73051574701094,0
999035,68.7087,-4.693869,70.69256,-4.2136183,7.3579874,7.0222692,-52.34359,24.167585,-19.828625,-144.49301,-52.373085,23.268631,-19.52424,-134.5719,-59.50132,28.369719,-23.226473,-152.25597,-58.96029,26.839,-24.569666,-145.64523,-52.40151,24.158314,-20.49804,-149.84221,-52.541798,23.308584,-21.046745,-142.5037,-0.046580356,0.82176554,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,1001,1001,56.474293,-41.038242,15.990323,-19.162579,-92.89181,-41.47178,15.732117,-20.559631,-92.16745,-39.732826,16.82564,2.0,-93.8391,2.2037575,5.2801447,17.43307,-10.848759,-0.032821454,0.35229382,0.8583307,-0.98348963,0.8145541,0.06019176,1.0324237,0.5734492,0.9176070094108582,-0.49785280227661133,1.1145477294921875,-4.693869,-4.2136183,5.0,4.453743934631348,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014475503,0.85747606,0.9999999,-1.0,1,0.0,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11292624,0.37500992,0.54039603,-0.5711668,1,0.0,0.8901002909988165,0.0023346449888776988,1.319464368003537,0.00532125799509231,25.808183264991385,28.02540382697771,66.75267132201407,1
999035,133.68431,4.6042,135.09154,6.646443,7.0287967,6.435952,-98.93327,47.340763,-50.513546,-295.4075,-97.55646,46.219166,-49.60292,-286.8967,-105.09412,52.557438,-52.313732,-306.4232,-103.21117,50.701626,-52.60823,-293.7814,-98.369835,46.786182,-48.990364,-294.60098,-97.18178,45.787254,-47.952454,-280.70157,-0.014700644,0.8153933,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,2001,2001,102.102905,-89.45143,40.394,-50.020824,-226.26503,-89.04906,40.40246,-50.470306,-225.06949,-89.43537,41.425053,2.0,-228.87218,3.1557217,5.5031495,20.170368,-8.349397,-0.028567119,0.47973594,1.2112886,-1.2150745,0.83911103,0.07705691,1.0304617,0.3053582,0.8358534574508667,-0.8681557774543762,1.1446399688720703,4.6042,6.646443,5.0,-5.625321388244629,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028699394,0.857633,0.99999994,-0.99999994,1,0.0,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01778158,0.24781603,0.5505514,-0.61981016,1,0.0,0.911894218006637,0.0023073550109984353,1.3046114329918055,0.00532125799509231,25.407595612006844,27.631729876011377,94.3810368780396,2
999035,239.66539,0.78852004,235.01279,1.4385926,9.679648,8.652202,-172.22125,83.30194,-82.58572,-481.39444,-170.95003,82.17782,-80.23972,-462.7449,-181.0924,89.833046,-88.23696,-485.33124,-178.72037,87.40357,-85.75105,-459.33542,-172.61191,83.084175,-82.60403,-462.84128,-171.3892,82.24333,-84.25207,-456.58893,-0.04164365,0.83036226,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,3001,3001,178.69624,-159.85461,75.35438,-84.86705,-403.79935,-159.6419,75.1194,-84.44077,-398.45798,-159.84567,77.55101,2.0,-425.96634,3.2591405,5.9446573,31.595787,-10.951569,-0.051191993,0.5708083,1.3913544,-1.4698944,0.8460146,0.08953399,1.0542592,0.21001959,0.762125551700592,-1.2873737812042236,1.3414092063903809,0.78852004,1.4385926,5.0,-1.1135562658309937,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10821948,0.85135275,0.99999994,-1.0,1,0.0,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021841042,0.24930239,0.69638264,-0.77355105,1,0.0,0.9211157399986405,0.0023187469923868775,1.3047244519984815,0.00532125799509231,25.51776772600715,27.75124792299175,122.1288974400668,3
999035,313.92944,-0.18006755,312.37546,2.595033,10.284719,9.552044,-228.68921,107.87973,-113.75996,-659.45264,-227.69092,106.73899,-117.142624,-654.70233,-237.49716,114.921455,-123.69407,-700.95337,-235.55972,112.641884,-121.54477,-675.6789,-228.85873,107.44125,-118.30503,-702.2294,-227.89978,106.20384,-117.97714,-679.0053,-0.017039288,0.8259905,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,4001,4001,235.68478,-215.05399,97.538864,-115.78112,-580.3952,-214.73679,97.31835,-115.77359,-579.4817,-210.89052,99.93249,2.0,-545.3981,3.848769,5.5771427,20.913952,-8.090164,-0.013368389,0.61207885,1.5426652,-1.4717768,0.8364262,0.09514307,1.0272043,0.15652655,0.6962105631828308,-1.502801775932312,1.6227869987487793,-0.18006755,2.595033,5.0,-1.2074826955795288,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06289167,0.846925,1.0,-0.99999994,1,0.0,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014992226,0.33524767,0.85429996,-0.82618034,1,0.0,0.9060292749927612,0.0023346230009337887,1.316869988993858,0.00532125799509231,25.50963236800453,27.740187512987177,149.86572599805368,4
999035,706.1137,13.714495,713.6052,12.672816,12.873676,11.61848,-325.83496,163.25615,-147.76003,-919.14954,-325.28925,161.2071,-154.91313,-904.6487,-337.72864,172.72473,-159.59352,-923.2202,-335.7036,168.82935,-161.24742,-901.9324,-326.04858,162.5019,-153.0252,-892.7975,-325.6017,160.74467,-157.6793,-872.45703,-0.054480933,0.82107437,1.0,-1.0,-2.0,0.0,-2.0,-2.0,5001,5001,333.43604,-310.58102,152.50002,-156.43007,-796.33185,-311.42725,152.22144,-159.18262,-801.8769,-311.51117,155.32043,-156.30057,-742.0457,4.6060085,6.006719,27.125353,-9.946341,-0.074112736,0.7192316,1.7015526,-1.7707515,0.8688911,0.11324023,1.089538,0.11189534,0.6368300318717957,-1.5312434434890747,1.9271526336669922,13.714495,12.672816,5.0,-13.193655014038086,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02179156,0.8572834,0.99999994,-0.99999994,1,0.0,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008505275,0.34486374,0.80405474,-0.85166067,1,0.0,0.9101569210033631,0.002355247997911647,1.312257468001917,0.00532125799509231,25.422942171993782,27.653033066992066,177.51537103403825,5
999035,521.12427,11.255711,535.7993,15.893208,12.182825,11.250548,-364.82166,172.17355,-197.22717,-901.5394,-364.40088,170.26274,-198.22678,-901.45886,-375.98108,180.37537,-202.11102,-909.68896,-374.6489,176.88965,-204.10912,-894.4122,-365.31195,171.82362,-196.71169,-892.85944,-365.0661,169.99641,-196.78955,-886.8916,-0.01866313,0.81430376,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,6001,6001,370.32016,-350.94937,162.31447,-198.02185,-813.0169,-352.00928,162.26212,-201.30084,-809.93756,-352.49,166.19147,2.0,-855.34045,5.4810047,6.51013,29.832623,-8.658622,-0.040559396,0.80259913,2.1139567,-1.8467575,0.89845765,0.102153696,1.1207737,0.10775342,0.5837697982788086,-1.3556361198425293,2.260524272918701,11.255711,15.893208,5.0,-13.574459075927734,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722834,0.85499555,1.0,-1.0,1,0.0,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03358838,0.38047487,0.93514764,-0.9151386,1,0.0,0.8970463599980576,0.002334145989152603,1.3091704710095655,0.00532125799509231,25.422616048992495,27.636488283984363,205.14887088704563,6
999035,1575.1422,14.167117,1578.9836,6.836706,13.175104,12.722704,-435.61246,214.35449,-232.62292,-1162.5488,-434.64218,213.35919,-235.84366,-1161.7822,-447.24615,223.9097,-237.74051,-1205.11,-445.76498,221.69992,-240.78082,-1178.9271,-435.98785,214.33824,-232.82037,-1170.0509,-435.1667,213.89029,-228.15475,-1147.3846,-0.055102676,0.81246376,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,7001,7001,442.26135,-420.13162,203.43794,-231.66286,-1045.4504,-419.32788,203.37698,-235.6347,-1050.9753,-422.88986,210.50328,2.0,-1054.7727,5.059712,6.422099,23.804375,-9.258711,-0.05281056,0.797107,1.9724108,-2.0901349,0.8787306,0.10370539,1.1432714,0.10968043,0.5362810492515564,-1.8318458795547485,2.6538238525390625,14.167117,6.836706,5.0,-10.501911163330078,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011074488,0.8633612,0.99999994,-0.99999994,1,0.0,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040783495,0.37043598,0.9061762,-0.8521981,1,0.0,0.9128922410018276,0.0024123519979184493,1.339274926998769,0.00532125799509231,25.521718931006035,27.781619708999642,232.92727784605813,7
999035,1227.2843,2.8355527,1214.5892,16.276758,15.766022,14.632958,-530.742,256.47092,-269.87177,-1326.0126,-528.69104,255.15367,-269.843,-1292.779,-545.06836,266.7998,-273.63852,-1377.8422,-540.7363,262.84326,-276.73492,-1356.6383,-531.8076,256.47836,-264.618,-1377.9974,-529.6391,255.31758,-268.37573,-1347.0565,-0.046783876,0.8127915,1.0,-1.0,-2.0,0.0,-2.0,-2.0,8001,8001,535.96606,-511.88495,243.2238,-271.63818,-1211.9424,-511.401,243.67273,-272.32394,-1211.0939,-507.1341,239.75264,-276.3498,-1225.5381,5.8929577,6.907181,27.132812,-9.863472,-0.031067446,0.8925083,2.1300004,-2.022501,0.8909085,0.11814304,1.1093519,0.09410096,0.49399957060813904,-1.4857747554779053,3.1925299167633057,2.8355527,16.276758,5.0,-9.55615520477295,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002667562,0.8678065,1.0,-1.0,1,0.0,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010820538,0.4055039,0.92555565,-0.91343933,1,0.0,0.9114682520012138,0.0023412810114677995,1.3220014139951672,0.00532125799509231,25.563907812989783,27.805040017992724,260.728888124082,8
999035,2597.8088,36.83931,2607.1777,39.330196,15.79706,14.687652,-596.81024,305.22592,-311.88535,-1713.0323,-594.88214,303.78412,-314.50598,-1682.8741,-611.22327,315.84055,-325.76636,-1765.3,-607.5696,312.09845,-333.84677,-1728.383,-597.68787,305.5793,-316.93155,-1752.6608,-595.92175,303.7672,-323.93237,-1686.3539,-0.040319182,0.8238007,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,9001,9001,603.2424,-579.77893,293.5969,-315.9528,-1589.1179,-578.9989,294.2794,-320.0413,-1586.4646,-581.62585,299.46722,2.0,-1559.1588,5.424122,6.2209363,26.313032,-7.2929263,-0.050452948,0.9351871,2.1297119,-2.254243,0.9022248,0.11775419,1.1388072,0.073317416,0.4566013813018799,-2.0191400051116943,3.8327105045318604,36.83931,39.330196,5.0,-38.084754943847656,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04178662,0.8751697,1.0,-0.99999994,1,0.0,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030516613,0.49749336,0.9664562,-0.95268023,1,0.0,0.8958212209981866,0.0023579100088682026,1.3090512199996738,0.00532125799509231,25.57536124100443,27.78791285000625,288.51387784908,9
