replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,trainer/Alpha_prime,trainer/min_q1_loss,trainer/min_q2_loss,trainer/threshold action gap,trainer/alpha prime loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999035,43.779743,39.7502,43.773117,39.750896,0.00025420322,0.00022238365,0.0023499778,0.0015362013,0.0063866964,-0.002729248,0.0006684197,0.0017914703,0.0055787764,-0.0054544583,0.002344054,0.001525144,0.0060249246,-0.002867457,0.00066156354,0.001796341,0.005706631,-0.0053887023,0.0023444798,0.0015333741,0.0061037573,-0.0028939308,0.0006665677,0.0018028651,0.0058489568,-0.005305,-0.04371117,0.8149624,1.0,-1.0,-2.0,0.0,-2.0,-2.0,1,1,-5.3963714,0.002522305,0.0015799041,0.005669875,-0.0023087305,0.0006962922,0.0017607826,0.0054162852,-0.0049011423,-2.0048478,0.0019790046,-2.0002193,-2.0088663,-5.395913,0.60486776,-3.8935971,-6.8026505,0.00073037297,0.001463645,0.0038451196,-0.0021935108,0.00082518946,0.0025031322,0.006967441,-0.0032950563,0.9998999834060669,-0.0,1.0,39.7502,39.750896,5.0,-39.75054931640625,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054303933,0.64768124,0.9996264,-0.9996339,1,0.0,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044364703,0.0009478004,0.0027999568,-0.0010150186,1,0.0,0.9442819299874827,0.0023190750216599554,1.3714921700011473,0.006797000009100884,19.05847970501054,21.38336988002993,29.94351540604839,0
999035,72.9869,-0.17569941,74.38553,0.7244326,6.8770094,6.472598,-49.72327,22.632254,-20.191038,-149.23001,-48.357452,21.358988,-19.180193,-140.4092,-55.38783,25.4948,-22.484404,-153.73042,-54.471966,24.144651,-23.095509,-144.7164,-49.64463,22.119438,-19.638435,-156.95755,-48.4224,20.976965,-19.741394,-142.61163,-0.037400905,0.81713367,1.0,-1.0,-1.96875,0.3521696,2.0,-2.0,1001,1001,52.945194,-39.3089,14.149381,-19.302727,-89.12249,-39.23029,14.311176,-21.258766,-89.92743,-40.042503,17.783321,2.0,-110.75811,3.098849,5.5640054,21.500502,-10.817556,-0.036542103,0.35489687,0.9296021,-0.9487953,0.838723,0.053361274,1.0634726,0.684909,0.9176831841468811,-0.42058366537094116,1.1077091693878174,-0.17569941,0.7244326,5.0,-0.2743665874004364,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032994628,0.85338724,0.99999994,-1.0,1,0.0,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103007615,0.36683425,0.5941291,-0.5966797,1,0.0,0.9278569699963555,0.002325925976037979,1.3562518100079615,0.006797000009100884,18.63490134899621,20.928133054985665,50.86703853702056,1
999035,194.69801,0.58331245,194.61372,2.44084,7.6210423,7.15009,-107.50143,52.807392,-52.08977,-322.83313,-105.96372,51.235443,-51.54387,-313.3954,-114.47276,58.500957,-54.736492,-335.8262,-113.12337,56.79753,-55.97216,-327.0244,-107.7136,52.934513,-54.485725,-320.70428,-106.16679,51.37024,-53.415745,-311.0201,-0.027249934,0.8219041,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,2001,2001,111.90935,-96.80165,45.031605,-53.36376,-267.44672,-96.67482,44.354454,-51.76834,-267.65533,-94.719315,46.693703,2.0,-251.4971,2.684347,5.3102684,23.557304,-8.138748,-0.0064560925,0.46769446,1.286598,-1.1796119,0.83413273,0.077390745,1.0675198,0.36944303,0.8360146284103394,-0.9515882730484009,1.114258050918579,0.58331245,2.44084,5.0,-1.5120762586593628,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022696381,0.8533705,1.0,-0.9999998,1,0.0,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023311054,0.25985956,0.4748406,-0.5139651,1,0.0,0.9097201930126175,0.002402576996246353,1.3056555790244602,0.006797000009100884,18.751095051004086,20.97567040004651,71.83812819400919,2
999035,245.34935,3.0203054,240.26965,2.9828541,9.001031,8.583008,-173.41464,78.16249,-88.66995,-459.6929,-172.54778,77.90427,-88.06683,-449.08273,-181.28952,84.30203,-89.2465,-446.49103,-180.7457,83.90749,-91.421326,-440.83694,-173.72342,78.85522,-84.85017,-453.07346,-172.99733,78.84799,-88.80096,-450.7069,-0.06551744,0.81613374,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,3001,3001,178.64743,-161.30405,71.30915,-86.35703,-374.04218,-161.45407,71.72674,-87.32549,-376.16177,-161.52393,75.55852,2.0,-402.25705,3.6737618,5.5651517,19.83173,-9.126741,-0.023568012,0.5791024,1.3584867,-1.2897207,0.83121014,0.09544509,1.0214438,0.20871195,0.7625385522842407,-1.172454833984375,1.2625576257705688,3.0203054,2.9828541,5.0,-3.001579761505127,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030789725,0.85188967,0.9999999,-1.0,1,0.0,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029939525,0.27688292,0.64887476,-0.8356362,1,0.0,0.9127497150038835,0.0023313540150411427,1.329633412999101,0.006797000009100884,18.62898205500096,20.880493537028087,92.71379655602504,3
999035,299.47925,-0.60126674,282.90344,-0.41970706,9.786359,9.391232,-226.9255,106.60925,-126.17137,-629.8815,-227.09116,106.57547,-123.13733,-618.8481,-235.41142,113.195496,-125.14577,-669.24426,-235.86313,112.98298,-131.10799,-658.5416,-227.04582,106.72556,-121.65771,-634.9343,-227.55896,106.83304,-123.58947,-624.8797,-0.06497101,0.81600124,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,4001,4001,234.21991,-214.09964,98.93734,-117.38732,-565.93463,-215.43622,99.25397,-122.2881,-567.32983,-214.31375,99.24155,2.0,-553.6654,4.5443068,6.167059,31.267292,-9.887789,-0.042592593,0.6284723,1.5308714,-1.4653913,0.87633044,0.08752094,1.0986371,0.14320229,0.6963306069374084,-1.2504267692565918,1.5099868774414062,-0.60126674,-0.41970706,5.0,0.510486900806427,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019644214,0.8606811,0.99999994,-1.0,1,0.0,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0128700975,0.3197398,0.70366704,-0.88183624,1,0.0,0.9021390140114818,0.0023014259932097048,1.3120810569962487,0.006797000009100884,18.629097900004126,20.852416397014167,113.56136105605401,4
999035,266.99564,8.76821,268.07117,8.704393,11.616386,10.773933,-297.66226,139.60126,-155.43755,-832.3468,-295.79346,138.69298,-154.32237,-807.6243,-308.06943,147.20255,-164.0579,-887.4576,-305.79388,145.61528,-163.04538,-869.68256,-298.6346,140.14517,-156.94627,-844.54614,-296.28094,138.89174,-154.94286,-826.55865,-0.010672125,0.82379746,1.0,-1.0,-2.0,0.0,-2.0,-2.0,5001,5001,303.70465,-284.0924,131.69464,-157.51442,-748.1851,-283.5244,131.46942,-156.20432,-749.77606,-285.5055,133.13979,-160.07156,-744.13196,4.7830067,6.263143,23.463184,-8.649458,-0.014650028,0.73244935,1.7780452,-2.0412881,0.85437775,0.10931884,1.0497006,0.047458477,0.6370956897735596,-1.4500467777252197,1.8089803457260132,8.76821,8.704393,5.0,-8.73630142211914,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036835377,0.86307347,0.9999999,-1.0,1,0.0,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010853833,0.33517402,0.75575674,-0.7907623,1,0.0,0.8940156729950104,0.0023381650098599494,1.3046201080142055,0.006797000009100884,18.59245427098358,20.800225217011757,134.3567045800446,5
999035,485.96863,6.816044,459.06372,8.785944,11.915017,11.306386,-365.6023,177.06407,-203.04112,-1120.722,-363.8348,175.9205,-203.81487,-1078.8063,-375.75613,184.88567,-207.70816,-1132.6272,-373.92365,183.50383,-207.89075,-1107.7148,-365.99112,176.81367,-204.2512,-1065.542,-364.08017,175.4619,-204.98604,-1066.3854,-0.032034334,0.8175501,1.0,-1.0,-2.0,0.0,-2.0,-2.0,6001,6001,371.4189,-351.05475,167.38603,-202.83109,-982.6964,-350.59927,167.4514,-204.28058,-987.0118,-350.18298,168.01062,-201.0083,-939.2737,4.1557226,6.02689,21.032087,-12.668568,-0.044369146,0.73549986,1.8403555,-2.2281535,0.8667786,0.09983285,1.0453795,0.13727425,0.5839868783950806,-2.067412853240967,2.1608757972717285,6.816044,8.785944,5.0,-7.800993919372559,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024244584,0.8637454,1.0,-1.0,1,0.0,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05761889,0.34044492,0.8923983,-0.8724243,1,0.0,0.8977332389913499,0.0022937589965295047,1.3106559840089176,0.006797000009100884,18.640759216999868,20.858239199005766,155.21023036903352,6
999035,431.76688,-5.9460964,424.18372,-2.5520418,14.18733,13.377253,-445.21133,207.52382,-245.49655,-1133.4935,-446.24496,208.18153,-243.62834,-1143.4547,-457.8124,216.32355,-249.42465,-1149.2998,-458.87344,216.79684,-253.45975,-1155.7345,-446.32245,207.59175,-247.4919,-1159.8562,-447.22745,207.9531,-247.26149,-1117.8529,-0.019701557,0.8177295,1.0,-1.0,-2.0,0.0,-2.0,-2.0,7001,7001,453.93665,-427.74988,196.01532,-248.20816,-1027.0623,-430.2904,198.18706,-246.61978,-1028.253,-426.30585,193.75467,-252.34668,-1054.4747,5.563133,6.5304985,24.525436,-11.313965,-0.022752788,0.84937704,2.09359,-1.9411237,0.8919336,0.11063954,1.1406124,0.07690583,0.5362651944160461,-1.5182573795318604,2.5359444618225098,-5.9460964,-2.5520418,5.0,4.2490692138671875,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12957738,0.85119843,1.0,-1.0,1,0.0,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612728,0.45764855,0.9014965,-0.9320842,1,0.0,0.9004737040086184,0.0022896100126672536,1.2975610890134703,0.006797000009100884,18.641110857977765,20.84823226102162,176.05388305903762,7
999035,1528.257,32.822163,1491.8828,45.094536,15.479031,14.606538,-518.3651,238.43129,-289.49994,-1340.5593,-514.91425,236.16309,-293.07672,-1350.6962,-531.92285,247.5828,-302.06702,-1386.8325,-528.5874,245.32674,-299.97324,-1372.3306,-519.2585,239.28474,-292.72122,-1347.5989,-516.0169,237.10498,-293.54065,-1321.0555,-0.04672761,0.81521046,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,8001,8001,525.34357,-501.50763,228.7986,-295.83966,-1237.7745,-500.66122,227.30534,-299.80658,-1244.1731,-499.8239,228.98936,2.0,-1305.4542,5.7839813,6.4935117,23.232563,-12.005049,-0.02220113,0.8802208,2.1272185,-2.1136854,0.9146237,0.11206617,1.2043502,0.14164323,0.49389511346817017,-1.5630803108215332,3.0274412631988525,32.822163,45.094536,5.0,-38.958351135253906,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031518932,0.873743,1.0,-1.0,1,0.0,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077869266,0.41988665,0.9343892,-0.9523681,1,0.0,0.9567121530126315,0.002292427991051227,1.3039057819987647,0.006797000009100884,18.674654939008178,20.944362302019726,196.99338059904403,8
999035,970.66187,19.1467,955.3573,21.048435,17.094599,16.354504,-616.17834,291.90515,-338.75253,-1753.6381,-614.45306,289.6057,-337.6173,-1762.5106,-630.7674,302.72995,-346.09546,-1851.5859,-628.5643,299.1394,-350.96857,-1787.4354,-617.0017,291.4488,-340.43848,-1738.5303,-614.87854,289.41556,-339.61023,-1738.5992,-0.02948352,0.81204027,1.0,-1.0,-2.0,0.0,-2.0,-2.0,9001,9001,625.65857,-597.11786,278.47446,-336.15256,-1634.3643,-596.4873,278.79782,-342.45248,-1641.3142,-592.292,287.087,-340.65424,-1686.2754,7.2312837,6.9282365,29.654068,-10.5082245,-0.061723106,0.9462407,2.2680552,-2.259217,0.93635184,0.11260689,1.1821462,0.14081356,0.45647889375686646,-0.6027810573577881,3.5797371864318848,19.1467,21.048435,5.0,-20.09756851196289,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030533256,0.86929387,1.0,-1.0,1,0.0,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020887157,0.59878665,0.9631288,-0.9714128,1,0.0,0.9072816779953428,0.0022942089999560267,1.327747041999828,0.006797000009100884,18.69708921900019,20.94120914800442,217.92976945600822,9
999035,3159.9612,-14.869963,3034.838,-11.562274,19.092678,17.912651,-718.6255,334.55753,-370.36514,-1826.2896,-711.5202,330.31012,-371.0647,-1824.4092,-736.32074,346.5373,-382.15897,-1897.9993,-728.6428,341.59332,-388.46396,-1896.8499,-719.7114,333.933,-371.49655,-1829.3132,-713.04706,330.3844,-374.97617,-1822.4828,-0.03506783,0.81673956,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,10001,10001,728.74384,-696.2549,320.23892,-371.9549,-1688.3253,-691.34906,317.38132,-370.51752,-1687.9806,-688.90857,323.76404,2.0,-1711.0149,6.8653708,7.4653525,25.5764,-11.833254,-0.09287769,1.0245528,2.8178396,-2.2411988,0.9444829,0.123970926,1.2508936,0.1238779,0.42370253801345825,-0.9742583632469177,4.1343584060668945,-14.869963,-11.562274,5.0,13.216117858886719,11000,11,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009160335,0.8774404,1.0,-1.0,1,0.0,11000,11,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016783522,0.49751812,0.9633913,-0.9837414,1,0.0,0.8971412930113729,0.0022950559796299785,1.3283142719883472,0.006797000009100884,18.67410226300126,20.90864988398971,238.83360795598128,10
999035,1576.0005,77.62454,1671.9594,45.41224,20.456306,19.049065,-770.11664,348.54037,-435.06064,-1923.6055,-771.3175,348.14798,-427.9344,-1896.2089,-787.4647,361.23233,-441.98468,-2022.1034,-787.8394,358.91098,-445.24832,-1987.8027,-772.03094,348.60648,-435.96857,-1983.6099,-773.06036,347.89038,-435.39777,-1933.7135,-0.025873696,0.81419414,1.0,-1.0,-2.0,0.0,-2.0,-2.0,11001,11001,783.1873,-748.569,335.63712,-433.53162,-1790.641,-750.8054,336.49802,-438.11536,-1774.7194,-746.3004,333.5461,-434.1343,-1741.8845,6.232263,6.8932834,28.438282,-9.761524,-0.046746343,1.008751,2.6882644,-2.4541655,0.89849305,0.11883258,1.134756,0.0038544443,0.3961654603481293,-1.6366734504699707,4.958905220031738,77.62454,45.41224,5.0,-61.51839065551758,12000,12,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018224191,0.87131304,1.0,-1.0,1,0.0,12000,12,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034110474,0.5829357,0.9715707,-0.98661137,1,0.0,0.8961155349970795,0.002324354980373755,1.3017476149834692,0.006797000009100884,18.627054059994407,20.83403856496443,259.66276817099424,11
