replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,trainer/Alpha_prime,trainer/min_q1_loss,trainer/min_q2_loss,trainer/threshold action gap,trainer/alpha prime loss,trainer/self-supervised inv loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999035,43.652798,39.63753,43.646324,39.640087,0.0012851036,0.0010085825,0.00461428,0.0012987586,0.00876997,0.0007741521,0.002902027,0.0010220365,0.0057674423,0.0004062862,0.0046214177,0.0012251744,0.008089546,0.0010722268,0.0028983427,0.00097062933,0.0056230277,0.00024823472,0.0046735243,0.0013233408,0.008280486,0.0009366482,0.0028849444,0.0010238312,0.0058339043,0.0003135393,-0.011802372,0.8097954,1.0,-1.0,-2.0,0.0,-2.0,-2.0,1,1,-5.4208684,0.0049216794,0.001650315,0.007997509,0.000559391,0.002667635,0.001355434,0.0057935854,0.00029571913,-1.9988904,0.000685261,-1.9971943,-2.0011213,-5.4181213,0.62813556,-3.6011577,-7.024928,-0.00077954645,0.0014120959,0.0023801315,-0.0026606685,-0.00051034556,0.001476845,0.0023542226,-0.0028887792,0.9998999834060669,-0.0,1.0,39.63753,39.640087,5.0,-39.63880920410156,0,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15758108,0.6233662,0.9983074,-0.9986732,1,0.0,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007385981,0.0013937093,0.0022629779,-0.0025143381,1,0.0,1.813976397010265,0.0022618699877057225,1.122379184991587,0.010400618019048125,20.88906406800379,23.838082138012396,31.467309444997227,0
999035,40.2543,-2.4516842,38.61805,-2.3163772,5.600098,5.644476,-29.443432,12.729677,-6.83257,-107.87705,-29.587292,12.756373,-6.431906,-106.34552,-34.427753,12.921615,-9.139964,-94.14115,-34.555595,12.954268,-10.803754,-93.638374,-29.398281,12.8783,-6.79623,-100.81237,-29.514273,12.941943,-7.7787447,-100.30209,-0.027549095,0.8207566,1.0,-1.0,-2.0,0.0,-2.0,-2.0,1001,1001,33.22013,-20.796127,8.246522,-5.2212224,-67.355835,-20.8645,8.265025,-5.499058,-64.18305,-21.017847,10.145358,-4.819006,-66.627785,3.1629598,5.185929,19.094559,-9.393729,-0.02857919,0.30757862,0.83668464,-0.9052462,0.84562063,0.048362512,1.0545946,0.6198799,0.9200981855392456,-0.4023805856704712,1.10470712184906,-2.4516842,-2.3163772,5.0,2.384030818939209,0,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0906152,0.86713564,1.0,-1.0,1,0.0,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006658695,0.25601217,0.5356579,-0.55820966,1,0.0,1.7724690870090853,0.002348455018363893,1.1169653769757133,0.010400618019048125,20.94608550699195,23.84826904401416,55.30741661801585,1
999035,68.91703,-3.38325,68.91008,-4.3583565,5.736367,5.8197017,-79.4117,30.03323,-41.29726,-199.5403,-79.85133,30.35347,-41.944527,-199.64987,-85.84481,31.178509,-43.233356,-208.40509,-86.38659,31.673302,-45.889904,-208.76672,-79.564476,29.987171,-40.257088,-203.57205,-80.064224,30.369076,-38.60473,-202.3709,-0.042451695,0.81935006,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,2001,2001,83.35298,-71.68107,25.460024,-42.03729,-166.62897,-71.9489,25.52277,-42.08807,-165.56009,-70.35411,26.79234,2.0,-169.38112,3.034196,5.529445,23.259811,-8.448399,-0.056502692,0.4774352,1.1382189,-1.4285411,0.8337741,0.074721426,1.0876133,0.3714758,0.8392870426177979,-0.8695536851882935,1.034289002418518,-3.38325,-4.3583565,5.0,3.8708033561706543,0,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018119564,0.87542117,0.9999999,-0.99999994,1,0.0,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004006771,0.3074283,0.7316838,-0.56493855,1,0.0,1.817288115998963,0.0023618030245415866,1.120723647007253,0.010400618019048125,20.915001987013966,23.86577617106377,79.16479360204539,2
999035,106.47058,-1.5867923,101.95472,-1.848614,6.0942945,6.2822843,-121.88159,49.884037,-59.83533,-320.6186,-122.14159,49.956154,-60.09712,-316.59366,-129.00902,51.673763,-66.047264,-325.7349,-129.39465,51.992725,-65.62721,-327.30453,-122.0094,49.578453,-58.880733,-311.946,-122.36532,49.626366,-59.854084,-313.2826,-0.039816506,0.8179823,1.0,-1.0,-2.0,0.0,-2.0,-2.0,3001,3001,127.04658,-114.45906,46.381855,-64.497314,-271.09335,-114.44388,46.191196,-62.606564,-271.7106,-116.18553,46.736725,-57.59891,-288.57697,4.23855,6.038759,22.81409,-9.465571,-0.077348545,0.5762053,1.5292213,-1.5097779,0.8616575,0.090744615,1.0684983,0.30457732,0.7657811045646667,-1.0034408569335938,0.9733799695968628,-1.5867923,-1.848614,5.0,1.717703104019165,0,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030648151,0.88045627,1.0,-1.0,1,0.0,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016219955,0.3386188,0.85143405,-0.705129,1,0.0,1.8145537079835776,0.0023800969938747585,1.1072014950041194,0.010400618019048125,20.930117264011642,23.864653182012262,103.02118853206048,3
999035,201.94658,1.689253,207.9226,1.8216338,5.934195,6.101968,-164.45842,60.315926,-87.897995,-373.86115,-164.6702,60.55756,-89.56054,-372.9819,-171.02606,61.82563,-98.45548,-374.89078,-171.2957,62.21328,-96.73925,-377.36807,-164.5516,60.005787,-88.00806,-364.47147,-164.8049,60.119137,-87.90536,-363.63797,-0.016739378,0.81359994,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,4001,4001,169.65642,-157.61078,57.435036,-91.06362,-335.1579,-157.612,57.421135,-90.01091,-336.05695,-156.31384,57.3151,2.0,-336.9222,4.201174,5.628984,23.757355,-9.297048,-0.017546583,0.61159647,1.5754629,-1.5772127,0.87042403,0.08668698,1.0546702,0.3191874,0.6995699405670166,-1.3569399118423462,0.9635398983955383,1.689253,1.8216338,5.0,-1.7554433345794678,0,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019100986,0.87747777,1.0,-1.0,1,0.0,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01979805,0.42967096,0.826809,-0.8338789,1,0.0,1.9008284440205898,0.002393731992924586,1.2087430379760917,0.010400618019048125,21.561300121975364,24.68366595398402,127.69663585399394,4
999035,371.47015,-2.1851492,372.6651,-2.1008234,6.7142234,6.8382254,-203.61998,71.33927,-107.59263,-475.49213,-203.87863,71.295586,-109.85391,-467.80673,-211.53357,73.34047,-115.64937,-484.49084,-211.75235,73.74291,-113.45428,-482.69852,-204.16513,71.33143,-104.566376,-469.48926,-204.54662,71.34089,-104.7147,-461.11945,-0.021355217,0.8194745,1.0,-1.0,-1.96875,0.3521696,2.0,-2.0,5001,5001,210.65877,-196.3565,68.51916,-108.28671,-434.29752,-196.3941,68.03953,-108.94626,-434.4054,-196.21704,71.66359,2.0,-415.49017,5.23155,6.03565,23.167847,-8.957301,-0.055888824,0.73404074,1.8882107,-1.7654154,0.88967633,0.0959312,1.0783501,0.29367852,0.6400871276855469,-1.2349116802215576,1.0166255235671997,-2.1851492,-2.1008234,5.0,2.142986297607422,0,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027749421,0.8782508,1.0,-1.0,1,0.0,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02063382,0.3981029,0.8936847,-0.8422039,1,0.0,1.985950918024173,0.0024159350141417235,1.1870400610205252,0.010400618019048125,21.56336087800446,24.749168410082348,152.4374280210177,5
999035,119.45954,1.0922178,120.84743,1.4530144,6.478427,6.7097387,-249.9332,79.71275,-142.63062,-551.7932,-249.97476,79.721,-142.33914,-547.83984,-257.48273,81.88742,-144.83044,-551.1866,-257.59982,82.442085,-143.19223,-553.56354,-250.13594,79.842735,-135.49432,-539.68304,-250.21219,79.87499,-135.48674,-540.05756,-0.027743518,0.8232184,1.0,-1.0,-2.0,0.0,-2.0,-2.0,6001,6001,256.11786,-243.10864,77.0998,-131.97609,-507.97977,-242.76363,76.9442,-131.92474,-505.1751,-242.5859,81.08722,-134.31401,-532.0711,4.852991,6.8553696,25.911564,-10.520881,-0.032910254,0.8068651,1.9757228,-1.9761431,0.87588656,0.112918586,1.1311027,0.2830729,0.5867413878440857,-1.6776368618011475,1.0593711137771606,1.0922178,1.4530144,5.0,-1.2726161479949951,0,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033683646,0.87190855,1.0,-0.99999994,1,0.0,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046240617,0.5148816,0.9586003,-0.9551515,1,0.0,1.791151835990604,0.0023427320120390505,1.1186271100013983,0.010400618019048125,20.89876116401865,23.82128346004174,176.25035100901732,6
999035,106.25418,-2.356372,102.28071,-3.702379,6.9583936,7.370578,-299.35364,110.714645,-123.05716,-616.59796,-300.94263,110.83708,-124.89543,-616.1255,-307.45636,112.974464,-139.97261,-629.6959,-309.42514,113.89095,-140.39603,-630.3464,-299.44595,110.42744,-123.2742,-629.25183,-301.03778,110.4781,-126.91606,-619.3649,-0.031171175,0.81904334,1.0,-1.0,-2.0,0.0,-2.0,-2.0,7001,7001,307.4143,-292.10138,107.46046,-125.85051,-583.33856,-293.0233,107.14766,-127.31693,-579.85706,-292.1187,107.99737,-121.64148,-586.9674,5.6562595,6.694723,24.331755,-8.165679,-0.036198176,0.86589485,1.8517399,-2.1551528,0.91055167,0.114485,1.1675055,0.21134605,0.538669764995575,-1.4497697353363037,1.174530029296875,-2.356372,-3.702379,5.0,3.0293755531311035,0,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061498042,0.8795135,1.0,-1.0,1,0.0,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07058677,0.5118713,0.94996214,-0.96120936,1,0.0,1.807553757011192,0.002378837001742795,1.116743012011284,0.010400618019048125,20.898382300016237,23.835458524059504,200.07743694304372,7
999035,364.407,-0.7217999,379.82907,0.2326165,7.397251,7.7527547,-334.24258,110.693665,-200.9685,-709.4022,-334.7928,111.245125,-203.375,-703.2331,-342.63593,112.972275,-207.14532,-733.3209,-343.20404,114.05875,-208.5552,-725.50684,-334.60815,110.822754,-198.90152,-726.4445,-335.03085,111.33834,-200.43127,-721.7314,-0.026370205,0.8207683,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,8001,8001,342.0163,-326.92807,107.92591,-209.40569,-679.3768,-326.99182,108.41883,-211.84546,-677.21893,-323.50055,107.034424,2.0,-685.9559,5.6996,6.6102552,27.802788,-8.139725,-0.03798876,0.89730316,2.1598108,-2.1493585,0.89205545,0.11437561,1.1119175,0.18100542,0.49577659368515015,-1.6138441562652588,1.2823649644851685,-0.7217999,0.2326165,5.0,0.24459171295166016,0,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01367098,0.87314445,1.0,-1.0,1,0.0,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05787396,0.5250589,0.9029953,-0.91710293,1,0.0,1.8553697769821156,0.002379360987106338,1.1120216659910511,0.010400618019048125,21.359792465984356,24.339963887963677,224.40899869793793,8
999035,524.80054,6.0177455,510.61176,6.441436,7.2966847,7.5757833,-349.80792,110.68701,-153.76385,-698.7488,-350.7255,110.69479,-152.87563,-702.1685,-358.46606,112.99772,-163.90483,-730.9661,-359.5103,113.56884,-164.75069,-721.19965,-350.24545,110.16029,-147.18884,-695.31726,-351.4733,110.28401,-147.8917,-689.16797,-0.013828551,0.8188867,1.0,-1.0,-2.0,0.0,-2.0,-2.0,9001,9001,359.02936,-343.75964,108.29487,-148.29341,-665.15125,-344.28186,107.99735,-151.37306,-664.47235,-347.63406,110.39147,-160.974,-668.3703,7.095591,7.003855,28.999718,-7.7451677,-0.054290086,0.9571263,2.1347232,-2.3844125,0.91849667,0.12091962,1.18462,0.15894106,0.4581906199455261,-0.7057946920394897,1.2774648666381836,6.0177455,6.441436,5.0,-6.22959041595459,0,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059163727,0.8712864,1.0,-1.0,1,0.0,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062373135,0.55476683,0.9326187,-0.95099235,1,0.0,2.0298185819992796,0.0023820619971957058,1.1980106470000464,0.010400618019048125,21.329284147999715,24.569896057015285,248.9710011309071,9
