replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999035,48.675926,44.66574,48.662636,44.666065,0.0002981244,0.00029028405,0.0025166832,0.00095242925,0.0056292056,-0.00095909636,-0.0008345321,0.001857274,0.003376678,-0.0049052173,0.002525675,0.0009477828,0.005438945,-0.00087547314,-0.00083417085,0.0018528297,0.0034074439,-0.0051296526,0.0025178394,0.00094892026,0.0057686353,-0.0007896492,-0.0008303606,0.0018594,0.0034109186,-0.0054041995,-0.04452485,0.80983645,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,1,1,-5.258814,0.0023531832,0.00089621806,0.005638823,-5.084672e-05,-0.0010674018,0.0018891538,0.003416482,-0.0051846784,-1.9845847,0.2495275,2.0,-2.003462,-5.277914,0.6067019,-3.5943666,-6.7591567,0.00085124525,0.0023834528,0.0057887062,-0.004246041,-0.00027827083,0.0021467805,0.004495503,-0.0042056963,0.9998999834060669,-0.0,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046877142,0.6482176,0.9990805,-0.99863034,1,0.0,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026270878,0.0016703018,0.0021743132,-0.0028329538,1,0.0,0.92515481800001,0.002401346000169724,1.3408930310001779,0.006200946000262775,20.004485892000048,22.27913603300067,30.288655735999782,0
999035,70.19301,7.1372223,74.48326,7.927597,6.572448,6.3517156,-47.927937,24.570526,-17.649437,-141.079,-47.651237,24.276783,-17.375154,-146.46059,-53.249207,27.831793,-19.886303,-154.41489,-52.718334,26.96139,-20.058102,-156.18788,-47.817802,24.224634,-18.475649,-141.978,-47.66688,23.957037,-16.939365,-144.77504,-0.05648402,0.8158734,1.0,-1.0,-2.0,0.0,-2.0,-2.0,1001,1001,50.737087,-38.30742,16.753569,-17.899332,-94.04969,-38.58402,16.99287,-15.559488,-92.82763,-38.8885,19.510876,-16.279911,-112.95395,3.017542,5.1618814,16.34871,-10.254745,-0.04342746,0.3529947,0.84788245,-0.86538434,0.8218355,0.053522468,0.9859594,0.6593832,0.9174675345420837,-0.4287002682685852,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023578255,0.8543071,1.0,-0.99999976,1,0.0,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112058744,0.3965433,0.6869967,-0.54662514,1,0.0,1.0021663399998033,0.0024206509997384273,1.4733601920002002,0.006200946000262775,20.829013936999672,23.313162065999677,53.59831178799914,1
999035,130.16064,9.176453,132.20682,9.830078,7.0578113,6.6819587,-94.76179,48.343674,-43.817398,-294.38467,-94.2509,46.77015,-42.001167,-276.36145,-101.055984,53.56831,-45.97472,-294.78656,-100.04452,51.46721,-44.49474,-280.55267,-94.76455,48.110912,-44.144695,-276.17868,-94.353226,46.725975,-42.02305,-279.9022,-0.033283424,0.8189015,1.0,-1.0,-2.0,0.0,-2.0,-2.0,2001,2001,101.97026,-85.47102,41.33645,-43.033394,-221.84787,-85.280334,40.742134,-44.903507,-221.39784,-88.680435,43.158997,-47.213997,-251.90268,3.107337,5.793878,21.014229,-11.762151,-0.03547097,0.47112727,1.3081388,-1.2128174,0.84395516,0.07283594,1.0746691,0.42027846,0.8358519673347473,-0.8768167495727539,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028000215,0.8498528,1.0,-1.0,1,0.0,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03666983,0.3566187,0.7016461,-0.6076255,1,0.0,1.0772448839998106,0.0024295180000990513,1.6375775780002186,0.006200946000262775,20.108442276999995,22.831895203000386,76.42612054899928,2
999035,294.92795,20.723267,304.94397,17.979797,8.143999,7.8128953,-154.08333,74.09406,-79.29642,-447.87616,-154.9677,74.09892,-83.420685,-455.998,-160.84747,80.12199,-85.1718,-480.75574,-161.41791,79.276955,-87.57343,-473.14264,-154.30983,74.13425,-80.66363,-474.46103,-155.26707,74.07481,-82.7089,-464.6834,-0.028007504,0.8171035,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,3001,3001,160.88303,-145.15436,68.51273,-81.46465,-397.78702,-145.91922,69.01783,-81.61187,-400.37888,-143.95645,68.67941,2.0,-411.80966,3.482562,5.5807014,24.554134,-7.887022,-0.042984635,0.5428577,1.3949585,-1.34589,0.8364343,0.08758498,1.0716069,0.26175663,0.7622018456459045,-1.226261019706726,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11469216,0.84450823,1.0,-1.0,1,0.0,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023603572,0.2728762,0.72448707,-0.7861989,1,0.0,0.9185010240003066,0.0024488719996043073,1.3187296679998326,0.006200946000262775,19.075331217999974,21.32121172799998,97.74337612799809,3
999035,526.6149,13.88324,533.1533,13.526184,9.08356,8.684327,-205.18047,100.40345,-113.456184,-604.50165,-203.65756,99.456154,-110.38469,-595.1403,-212.9854,107.48769,-118.63732,-636.39435,-210.9777,105.12129,-116.8625,-624.1977,-205.65108,101.4094,-116.09471,-631.2397,-204.04874,100.02396,-113.02286,-605.6449,-0.011425009,0.8089589,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,4001,4001,214.44814,-195.21669,93.19231,-118.31513,-539.7288,-194.1799,93.18356,-116.51514,-539.638,-195.56197,94.31102,2.0,-567.51074,4.5473905,6.064082,20.978886,-8.426997,-0.045445032,0.6588398,1.8014874,-1.7163554,0.908037,0.08702487,1.156482,0.21117808,0.6963530778884888,-1.2491872310638428,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046703614,0.8571246,1.0,-1.0,1,0.0,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.068665706,0.31562012,0.81855136,-0.8338226,1,0.0,0.9225836729997354,0.002441184999952384,1.3226923229999556,0.006200946000262775,19.281885325000076,21.535803451999982,119.27507769699878,4
999035,356.28152,22.15918,380.33365,22.616089,10.061956,9.933042,-273.3942,129.71188,-150.05594,-864.17334,-274.92957,129.95837,-152.1967,-860.8994,-282.34784,137.9172,-157.13412,-873.4952,-283.52008,137.46297,-157.86757,-861.0868,-273.65756,129.16405,-151.47292,-836.1948,-275.02826,129.2783,-151.23543,-848.4135,-0.041735176,0.8083066,1.0,-1.0,-1.984375,0.24951124,2.0,-2.0,5001,5001,278.67224,-263.7481,122.83443,-153.12428,-767.9753,-265.38492,123.346504,-158.13179,-769.1703,-260.7885,123.70792,2.0,-782.14777,4.522597,6.1150975,22.798954,-9.898602,-0.06677689,0.6863672,1.6313875,-1.7274377,0.8703233,0.091118895,1.0874027,0.13090214,0.6368691921234131,-1.5686582326889038,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07261322,0.8387765,1.0,-1.0,1,0.0,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013219788,0.33481967,0.82833827,-0.8418863,1,0.0,0.9561486239999795,0.002427999999781605,1.3535812869999972,0.006200946000262775,19.24059960400018,21.558958461000202,140.8297866369985,5
999035,295.38202,22.989502,321.31046,25.561523,11.395472,10.70845,-323.8862,149.44171,-179.55347,-847.438,-322.109,148.30994,-179.97102,-825.4324,-332.54788,156.17245,-183.81833,-850.13837,-330.21625,154.42017,-186.20523,-829.12506,-324.02133,148.2047,-181.9514,-816.6128,-322.32205,147.53125,-181.62523,-813.42664,-0.028354086,0.8286045,1.0,-1.0,-2.0,0.0,-2.0,-2.0,6001,6001,332.91064,-312.34702,141.25772,-180.09108,-740.5001,-311.66156,141.31949,-181.71939,-754.6083,-312.65222,140.52675,-182.85063,-763.29877,5.1024323,6.3720446,21.566183,-8.550866,-0.06945628,0.76935357,1.7063375,-1.9206053,0.8893607,0.104065016,1.1183133,0.16539215,0.5837854743003845,-1.55927574634552,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028997395,0.85543716,1.0,-1.0,1,0.0,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023104256,0.35323834,0.8754353,-0.9245546,1,0.0,0.9167108940000617,0.002486979999957839,1.3217469000001074,0.006200946000262775,19.25348657199993,21.50063229200032,162.32628251299775,6
999035,451.5198,30.655518,492.53003,33.405518,11.151384,10.651784,-370.42526,170.60713,-211.50749,-1027.9736,-368.52362,169.52716,-210.01009,-1014.9795,-380.48666,179.06537,-209.44432,-1051.7888,-377.96375,176.50037,-217.4393,-1050.795,-370.89117,169.49849,-212.3956,-1014.87146,-369.30765,168.62886,-211.20683,-998.8892,-0.032018036,0.8255402,1.0,-1.0,-2.0,0.0,-2.0,-2.0,7001,7001,377.4146,-361.5959,164.36084,-213.688,-915.79065,-360.65622,164.98842,-214.9358,-910.44855,-369.52902,168.60568,-214.30185,-984.14746,5.361743,6.8984375,26.091856,-9.345623,-0.02648336,0.82103336,1.9001321,-1.8772447,0.8873938,0.104643956,1.1318213,0.109975144,0.5363471508026123,-1.6433486938476562,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05679118,0.84466773,1.0,-1.0,1,0.0,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0114149535,0.43134254,0.9321241,-0.92562574,1,0.0,0.9122396180000578,0.002458867999848735,1.355275704000178,0.006200946000262775,19.263589520000096,21.539764656000443,183.86176861799822,7
999035,407.6956,30.437012,425.17224,31.364014,12.6900015,12.1817,-426.9792,176.82843,-245.81506,-1189.9701,-427.49298,177.61572,-248.50133,-1168.0908,-437.24365,184.73842,-246.53764,-1230.7386,-437.0506,184.60234,-251.39021,-1212.0073,-426.80078,175.80754,-245.22334,-1208.9528,-427.4835,176.37326,-249.38538,-1204.2496,-0.018529808,0.8163628,1.0,-1.0,-2.0,0.0,-2.0,-2.0,8001,8001,436.86328,-415.99405,168.81468,-250.41156,-1061.995,-416.67828,169.91393,-254.4775,-1065.6375,-412.03973,170.67818,-244.53851,-1098.816,6.94683,6.58353,22.202612,-9.454193,-0.03700296,0.8910359,2.28876,-2.354562,0.9292361,0.1120046,1.1792536,0.037162375,0.4936734437942505,-0.7433323860168457,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036720786,0.8602802,1.0,-1.0,1,0.0,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019507028,0.5208115,0.9580941,-0.9728903,1,0.0,0.9090693120001561,0.0024341849998563703,1.3142635480003264,0.006200946000262775,19.16312929500009,21.39509728600069,205.25301467799864,8
999035,2709.5505,28.438232,2632.3152,28.37378,14.063627,13.525187,-483.3837,214.22554,-262.36798,-1464.6377,-484.2418,214.63084,-255.61057,-1414.2466,-496.4462,227.88051,-267.5778,-1484.3622,-496.5005,226.7057,-267.16815,-1466.0471,-483.94647,214.53989,-261.8654,-1356.6692,-484.84277,215.12495,-258.25836,-1375.7467,-0.045243606,0.8200217,1.0,-1.0,-1.953125,0.43046805,2.0,-2.0,9001,9001,490.40015,-471.5631,206.89343,-270.06537,-1282.6354,-472.52832,208.04749,-263.17407,-1291.4661,-468.514,214.96454,2.0,-1280.1962,6.9038553,7.448911,25.008736,-9.19042,-0.09191547,0.96914923,2.642296,-2.1389036,0.9277859,0.123409234,1.1842768,-0.03077321,0.456674188375473,-0.8590619564056396,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098178424,0.848042,1.0,-1.0,1,0.0,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015207326,0.5474184,0.9612489,-0.9605577,1,0.0,0.8934938419997707,0.0024260780000986415,1.320551814999817,0.006200946000262775,19.054153308999958,21.276825989999907,226.5256385179996,9
