replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999035,44.69344,44.69336,44.693764,44.69368,0.00024938432,0.0002735257,0.0037415582,0.0015574312,0.007870443,-0.0015332326,0.00401286,0.0015545606,0.008217493,-0.0019891192,0.0037344173,0.0015540774,0.007975308,-0.0014977219,0.004016732,0.0015585552,0.008364248,-0.001963802,0.003738305,0.0015574285,0.007842606,-0.0012865998,0.0040141405,0.0015746997,0.008465732,-0.001908208,-0.03561209,0.81468266,1.0,-1.0,0.0,0.0,0.0,0.0,1,1,-5.3456464,0.0037781012,0.0015646435,0.007856884,-0.0006903149,0.0039940793,0.0016257368,0.008393214,-0.0016270853,-0.0048751067,0.0017728922,-0.0006529993,-0.009116098,-5.344457,0.6173128,-3.5595136,-6.737478,-0.0006395017,0.0016800304,0.002957888,-0.0046254117,-0.0005270259,0.001284041,0.0021743544,-0.004141012,0.9998999834060669,-0.0,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.085338086,0.6429123,0.99915135,-0.99883115,1,0.0,1000,1,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004444295,0.0013642018,0.0019967675,-0.0038531104,1,0.0,2.5012119360000042,0.003130023999972309,1.5482699700000353,0.0798131509999962,15.93687202000001,20.069297101000018,44.42497933100006,0
999035,47.974842,6.5746994,47.932327,6.5911407,5.519059,5.6556816,-29.228092,11.570489,-9.742236,-69.409454,-29.644245,11.929298,-9.939004,-69.86383,-34.992474,12.753581,-13.794603,-74.03535,-35.516373,13.282372,-13.451216,-76.05801,-29.206247,11.26489,-11.061764,-69.8772,-29.551464,11.669115,-10.242365,-72.80037,-0.041851565,0.8188843,1.0,-1.0,0.00390625,0.06237781,1.0,0.0,1001,1001,31.670061,-22.102234,7.278957,-10.832306,-51.21764,-22.302002,7.238086,-11.153966,-49.140965,-23.659782,9.308345,1.0,-53.41048,2.8436322,5.453404,20.98757,-10.445716,-0.022221826,0.3404282,0.7714757,-0.9119348,0.8346052,0.055984676,1.0276654,0.63439286,0.9179357290267944,-0.441051185131073,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017312968,0.87046844,0.99999994,-0.99999994,1,0.0,2000,2,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07764735,0.34781423,0.5968334,-0.57616484,1,0.0,0.9454408920000219,0.0022092560000146477,1.155844229999957,0.0798131509999962,15.676950236999971,17.86025776599996,62.20794643700012,1
999035,63.199936,8.322449,60.851673,8.216309,6.070849,6.0127296,-67.68538,25.275597,-33.036568,-144.42867,-66.922264,25.330452,-33.11128,-145.70256,-74.17073,27.785757,-37.662655,-146.86299,-73.415085,28.03997,-35.94909,-150.35878,-67.96742,25.509933,-33.750282,-140.55858,-67.110825,25.400547,-33.307293,-142.8398,-0.03623399,0.8140472,1.0,-1.0,0.0,0.0,0.0,0.0,2001,2001,71.20997,-60.425735,21.536877,-32.965126,-118.012276,-59.919987,21.347858,-33.98032,-114.67195,-58.959614,22.004044,-31.63901,-127.89661,3.004745,5.569257,20.185764,-10.586128,-0.03825355,0.46328032,1.2740781,-1.1542383,0.8230183,0.07250993,1.0601817,0.40971616,0.8363812565803528,-0.8920358419418335,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045589723,0.86614877,1.0,-1.0,1,0.0,3000,3,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046095915,0.25019363,0.5474752,-0.635283,1,0.0,0.9596662049999622,0.002229256000020996,1.146257122999998,0.0798131509999962,15.742089770999996,17.930055505999974,80.0602614630001,2
999035,92.255,6.2378845,87.78379,6.2713623,6.3147783,6.0783973,-105.1861,41.3329,-50.8878,-230.10866,-104.78194,41.2408,-49.856087,-226.6306,-112.209496,44.95184,-53.753456,-250.55359,-111.67092,44.68508,-54.209324,-240.90335,-105.50891,41.30439,-50.71743,-233.65245,-105.1572,41.161255,-51.27447,-232.02794,-0.044303663,0.8234261,1.0,-1.0,0.0,0.0,0.0,0.0,3001,3001,107.795044,-97.49651,37.14971,-50.168877,-202.57693,-97.49446,37.222027,-50.602062,-201.46698,-97.4268,37.31544,-53.451427,-209.39954,3.550356,5.7998466,19.896194,-9.499563,-0.027528431,0.56877375,1.4818897,-1.3082849,0.85395724,0.08789399,1.0797356,0.25287607,0.7626070380210876,-1.2054972648620605,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08383531,0.8661155,1.0,-1.0,1,0.0,4000,4,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009152086,0.25845814,0.7117946,-0.7522898,1,0.0,0.966041185999984,0.0022990350000213766,1.1406068249999635,0.0798131509999962,15.837811618000046,18.02657181500001,98.00912411800007,3
999035,109.57233,4.3079224,108.42723,5.252136,7.016013,6.528866,-144.09108,54.589993,-76.298515,-303.3282,-143.60895,53.61366,-74.19543,-292.49054,-151.66261,58.804825,-80.61591,-310.1892,-150.86026,57.298077,-80.02205,-298.29858,-144.38718,54.78578,-74.578865,-296.42734,-143.93297,53.770664,-73.2136,-293.09503,-0.04963416,0.81812346,1.0,-1.0,0.0,0.0,0.0,0.0,4001,4001,150.53616,-135.35538,49.936413,-77.25609,-269.93054,-135.6896,50.023838,-75.2688,-272.4058,-134.88345,50.9531,-73.986084,-261.60022,4.247362,6.1279516,23.63776,-10.131065,-0.056605607,0.6342817,1.5004817,-1.5006934,0.84153855,0.102378316,1.0717543,0.123057224,0.6963927149772644,-1.357526421546936,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043071326,0.86054146,1.0,-1.0,1,0.0,5000,5,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05244951,0.32109636,0.77827454,-0.87426907,1,0.0,0.9355976290000285,0.0026277059999983976,1.1254189809999957,0.0798131509999962,15.726963276999982,17.870420744,115.801849481,4
999035,299.9356,9.433105,308.3589,12.746826,7.125042,6.4886084,-177.35387,68.31924,-92.671074,-367.23752,-176.92589,67.33071,-90.459206,-367.9339,-185.14795,72.584885,-95.993,-381.66315,-184.00969,70.77502,-97.066666,-373.25766,-177.73055,68.15194,-93.196175,-368.71744,-177.19783,67.08939,-94.750084,-368.1442,-0.03421022,0.8182633,1.0,-1.0,0.00390625,0.06237781,1.0,0.0,5001,5001,181.04951,-169.37871,64.39937,-96.33489,-343.08743,-170.1928,64.65317,-92.49593,-342.523,-168.28839,65.269936,1.0,-347.29523,4.162689,5.519627,22.520462,-10.089598,-0.018054035,0.72671574,1.8873477,-1.5760201,0.84882456,0.10749382,1.0435344,0.081472725,0.6370838284492493,-1.7297165393829346,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058985267,0.86199826,1.0,-0.99999994,1,0.0,6000,6,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011541969,0.3202784,0.80114114,-0.8434046,1,0.0,0.9438440779999837,0.0022541129999922305,1.1402350779999892,0.0798131509999962,15.715001691999987,17.88114811199995,133.60564859500008,5
999035,132.93349,11.5078125,136.85321,13.257202,7.087039,6.511595,-206.89441,78.385086,-113.0691,-437.6576,-206.29626,77.100395,-114.625244,-429.81775,-214.22945,82.55129,-117.53984,-445.151,-213.22086,80.69905,-116.54554,-431.54324,-207.02998,78.25321,-116.8629,-423.15903,-206.43094,76.9442,-114.70861,-423.36093,-0.020212512,0.8104725,1.0,-1.0,0.0,0.0,0.0,0.0,6001,6001,213.45456,-199.31201,75.029724,-119.24171,-394.19864,-199.78333,74.71678,-114.19314,-392.5147,-196.03409,74.662125,-112.905815,-392.3032,4.5087814,5.9916143,19.86902,-9.785666,-0.033848174,0.76281613,1.9003792,-1.863407,0.8764831,0.10249384,1.0992821,0.11341284,0.5838762521743774,-1.8781919479370117,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021594482,0.871496,1.0,-1.0,1,0.0,7000,7,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10337773,0.4365603,0.88452095,-0.9363276,1,0.0,0.9288488099999768,0.002260083000010127,1.1515020810000465,0.0798131509999962,15.691579864000005,17.854003989000034,151.38185351500013,6
999035,220.46997,9.797974,201.70764,10.102173,8.094063,7.377896,-247.22282,86.42234,-128.59435,-491.89407,-246.69785,86.59093,-129.19044,-480.4267,-256.0316,90.83608,-137.23561,-510.3133,-254.83325,90.182304,-138.40042,-497.70538,-247.83037,86.212555,-135.9061,-494.74524,-247.21912,86.230576,-132.58437,-486.12817,-0.034060236,0.8214208,1.0,-1.0,0.0,0.0,0.0,0.0,7001,7001,256.74622,-239.12358,82.61104,-129.34639,-461.76154,-239.23357,83.28578,-130.81302,-457.4347,-242.58527,85.28059,-132.542,-475.6147,4.8663254,6.3579636,23.775017,-9.0483055,-0.062080756,0.82993865,2.1213531,-2.1376164,0.88375616,0.105729945,1.1068394,0.15803827,0.5365356206893921,-1.9508329629898071,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17545208,0.8504204,1.0,-0.99999994,1,0.0,8000,8,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.122352645,0.4628402,0.9612825,-0.9274761,1,0.0,0.9713380260000122,0.0022493390000022373,1.1810599990000128,0.0798131509999962,15.726383558999999,17.960844074000022,169.26484330200012,7
999035,196.85165,10.456055,199.3005,10.75647,7.8828464,7.273218,-274.64804,101.31788,-150.65108,-557.94495,-274.4267,100.36195,-149.80945,-546.2548,-283.18964,105.93666,-153.69571,-588.2067,-282.1859,103.93096,-155.47604,-570.1422,-274.90228,101.32116,-150.70616,-557.7781,-274.45895,100.29863,-147.33694,-549.88434,-0.025846124,0.8178375,1.0,-1.0,0.0,0.0,0.0,0.0,8001,8001,279.8402,-267.201,98.310715,-154.50041,-514.44543,-267.60095,97.99001,-150.1077,-514.1733,-263.2672,97.06882,-149.3626,-497.19687,6.4667377,7.733049,31.774405,-10.33261,-0.028605044,0.9215723,2.275577,-2.004712,0.9413572,0.11158346,1.1642148,0.05966829,0.4940413534641266,-1.0810391902923584,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06639403,0.86923575,1.0,-1.0,1,0.0,9000,9,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076559894,0.47318825,0.93925536,-0.9334301,1,0.0,0.9499385670000038,0.002642271000013352,1.1542039110000246,0.0798131509999962,15.694854767000038,17.881452667000076,187.06844193400016,8
999035,642.15826,11.537964,660.5348,12.748047,8.621201,7.8793592,-297.32578,107.881424,-175.35463,-599.81836,-298.0922,107.01886,-173.60127,-593.6665,-306.4123,112.649796,-179.76462,-623.03723,-306.47614,110.534515,-178.06165,-614.2261,-297.75986,108.02605,-173.6657,-612.8068,-298.51477,107.1989,-173.78383,-612.4149,-0.028694702,0.8076158,1.0,-1.0,0.0078125,0.0880424,1.0,0.0,9001,9001,299.66733,-289.59766,105.04514,-175.8825,-579.2751,-291.16846,105.09614,-174.62563,-577.9868,-287.91913,108.14499,1.0,-581.2048,6.026932,7.160243,24.277893,-7.5280447,-0.02468109,0.9349045,2.2854114,-2.4505944,0.91698086,0.11942181,1.1937982,0.068528876,0.45671460032463074,-1.546142816543579,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05910147,0.8718532,1.0,-1.0,1,0.0,10000,10,1000.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06391124,0.5634933,0.9755198,-0.9502427,1,0.0,0.93410879999999,0.0025371589999849675,1.1527635880000275,0.0798131509999962,15.724618974000009,17.893841672000008,204.88442307100016,9
